gene	0.04uM	0.12uM	0.37uM	1.11uM	10uM	3.33uM	
ITGB1BP1	10.1763	10.105	10.0547	10.105	9.3861	9.745	
SPTLC2	4.472	4.9441	4.8756	4.8136	4.2754	4.583	
ACLY	9.71845	10.6689	10.4589	10.4676	11.0908	10.5358	
APP	13.1469	12.9101	13.1675	13.1696	13.2409	12.9101	
RAD51C	7.31015	7.0823	7.281	7.2778	6.21625	7.2409	
TSKU	4.84365	5.5609	5.5382	5.5018	5.9853	5.46	
SMC1A	9.1696	8.8281	9.0198	8.9643	8.15495	8.4243	
TMEM2	9.2215	10.0976	10.1155	10.5358	11.264	10.6136	
NOS3	4.16395	3.9436	4.1987	4.307	4.3781	4.2884	
YME1L1	8.91195	9.6175	9.4572	8.6997	8.9698	9.1258	
ACAA1	8.0834	6.7331	6.5773	6.907	6.99695	6.6399	
CSNK1A1	8.1224	8.9117	8.7211	8.5596	8.2604	8.4894	
HSPA8	11.4667	12.3747	12.2159	12.2327	11.3783	11.8056	
NFATC4	5.50895	4.7855	4.8864	5.4736	5.87025	5.6287	
CCNB1	12.5057	12.5779	12.5779	12.3832	11.8078	12.2402	
TBP	7.70685	8.3897	8.3593	8.1257	7.65725	7.8961	
SLC2A6	8.76965	7.6102	7.7821	8.546	9.83145	9.399	
WFS1	7.27225	6.0789	5.8863	6.3521	5.8521	5.9474	
EZH2	9.10845	8.8501	8.9279	8.4365	7.2924	7.5851	
UBE3B	7.735	7.941	7.7935	7.9994	8.9559	8.2729	
ICAM3	5.91825	7.2039	7.1443	6.5994	6.263	7.0669	
NPDC1	8.998	8.8158	7.6287	9.2194	9.94695	9.5331	
ALDH7A1	8.31495	8.4331	8.612	7.9465	8.1851	8.42	
BRCA1	6.22035	6.714	6.8277	6.3181	5.04325	4.8756	
NFATC3	10.6887	9.0672	11.7417	11.4787	8.72675	11.5056	
PSMD4	10.7378	11.6449	11.7663	11.4287	11.3853	11.516	
PCNA	13.4246	13.7418	13.6236	13.6324	12.9411	13.1417	
PHKG2	7.3029	6.9826	6.8918	7.026	6.9933	7.3905	
ETV1	6.71985	7.6003	7.4361	7.4727	7.68515	7.4043	
POLR2I	10.0695	10.214	10.079	9.825	9.87655	9.9128	
KDM5B	7.2389	7.092	7.1518	6.9745	8.04965	7.4558	
PSMB8	8.98685	9.3892	9.6001	9.6281	9.71745	9.7521	
AKAP8L	6.41525	6.8527	6.7278	6.9449	7.82945	7.0334	
COG4	8.95875	8.8844	8.812	8.8032	9.0095	8.8102	
MCM3	10.1012	10.254	10.1129	9.66	9.1107	8.7716	
PLEKHJ1	9.5174	7.7636	7.972	7.8845	8.1757	7.9215	
HAT1	8.76325	9.489	9.4025	8.7826	7.6141	8.8901	
TERT	7.18835	6.0311	5.9705	6.0384	6.5581	6.184	
G3BP1	11.039	11.5451	11.4287	11.4596	11.0307	11.358	
SNX13	8.4004	7.647	7.4949	8.0731	8.2625	8.1972	
PAK4	8.64385	8.6176	8.5785	8.2902	8.0676	8.042	
TPD52L2	8.3742	8.0747	7.9994	7.8452	8.16015	8.5309	
DPH2	8.6235	8.8748	8.6901	9.0346	9.41275	9.2576	
PIH1D1	9.1886	8.8032	9.0344	8.6739	8.82735	8.5746	
PRKCQ	6.20585	5.229	5.2673	6.5898	6.13195	5.6779	
SNX6	8.7755	9.0544	9.2898	9.3418	9.4147	9.3904	
EED	7.87815	8.6271	8.552	7.8728	6.93115	7.649	
SHB	8.5822	6.2414	6.7298	8.2662	8.97175	7.0159	
UTP14A	9.40125	10.1714	10.087	10.1804	10.4839	10.4131	
WIPF2	9.0648	8.7877	8.3459	8.6745	9.22625	8.7559	
NENF	10.4915	10.7114	10.9884	10.9191	10.9651	11.024	
TSEN2	8.4758	8.9546	8.7338	9.0463	8.87755	8.8834	
RPN1	12.5402	12.3024	12.5142	12.3747	12.2438	12.3125	
SUV39H1	7.8872	8.0946	8.0973	7.5609	6.57535	6.7225	
C2CD2L	5.75405	5.4675	5.5749	5.913	6.1833	5.9499	
LYPLA1	8.2838	10.1931	10.0261	9.827	8.87795	9.711	
BIRC2	8.60705	8.8	9.077	9.0879	8.5196	8.7133	
GABPB1	8.09485	8.3696	8.3436	8.384	7.79685	8.0583	
MAP2K5	7.85345	7.4821	7.6203	8.1124	8.16735	8.1438	
POLR2K	10.2561	10.8653	10.9604	11.024	10.1906	10.7559	
PTK2B	6.60295	5.4675	5.7601	6.6617	6.89085	5.7601	
PUF60	12.5213	12.8373	12.8909	12.6924	12.7751	12.7137	
DHRS7	8.58275	7.9382	8.5777	9.3478	8.58995	8.484	
PAF1	8.53165	9.1319	9.0022	8.7423	9.1085	8.8818	
ARID5B	6.87315	6.6778	6.5378	6.6333	6.94255	6.7012	
POLR1C	9.1307	8.5728	8.552	8.8219	8.86055	9.0929	
PAK1	6.54875	6.3283	6.3076	6.0734	6.3292	6.1029	
RUVBL1	11.8211	12.0291	12.0893	11.6498	11.4696	11.7743	
AKT1	10.1748	9.6319	9.5859	9.4307	9.2857	9.2514	
CDC42	10.893	11.733	11.6298	11.2442	10.5276	11.2514	
IGHMBP2	5.97635	5.977	5.8546	5.6444	5.92855	5.5294	
SENP6	9.0062	9.1707	8.8645	9.0015	9.53145	9.256	
ADO	5.94635	6.4079	6.5591	6.3731	6.4384	6.6185	
HSPB1	12.1027	12.0629	12.1879	11.7743	11.8519	12.1445	
EBP	7.4187	8.7959	8.5617	8.185	8.8492	8.4679	
TCTN1	7.43845	6.45	6.7278	6.8965	7.2448	7.1949	
AKR7A2	11.0941	11.4035	11.46	11.35	10.9587	11.3844	
CASK	5.77615	5.9422	5.7072	5.8103	5.5281	5.0966	
PPP2R5E	9.4664	9.0391	8.9301	9.3239	10.0462	9.1717	
RRP8	6.7522	6.3039	6.4794	6.2436	6.3165	6.3774	
LAMA3	3.46075	3.4603	8.3787	3.4122	3.4525	8.4892	
PIK3C3	8.9197	8.7681	8.9352	8.9408	9.3642	9.2194	
BHLHE40	4.1219	4.7444	4.8589	4.5325	4.69065	5.2891	
CCNE2	6.3348	6.859	6.8732	6.2428	4.84735	4.4735	
BDH1	5.84705	6.714	6.5939	6.6731	6.39325	6.6901	
FEZ2	5.82935	6.206	6.0254	5.821	6.1846	6.1282	
IKBKAP	9.4143	8.8276	8.937	9.2168	9.4909	8.9995	
SH3BP5	7.0083	7.1375	7.2301	7.6682	7.46815	7.6003	
PPP2R5A	8.74265	8.8329	9.0254	8.8645	9.52385	9.3028	
SGCB	7.45765	8.1963	8.4156	7.5662	6.99305	8.2499	
EML3	9.84685	8.2916	8.4374	8.1845	8.33165	8.2979	
ENOPH1	8.7339	10.3307	10.1228	10.1688	9.64895	10.0737	
BIRC5	11.5521	12.0184	11.952	11.0398	9.6071	10.6161	
CNOT4	6.48825	6.2835	6.3005	6.3039	6.25525	6.1954	
EPRS	11.2652	11.3671	11.3312	11.32	11.2744	11.0894	
SNAP25	5.0026	4.6768	4.7362	4.5011	4.13815	4.3702	
JMJD6	11.1843	11.516	11.2925	11.2265	11.2879	11.1787	
PAX8	5.2511	4.5333	4.7601	5.1959	5.3832	5.2232	
CBLB	5.5701	5.4843	5.7351	5.827	6.68205	6.1847	
SLC35F2	7.87765	8.1454	8.3952	8.3747	7.8683	8.0349	
ANO10	6.2568	6.6968	6.9921	6.7146	6.8163	6.5591	
PDS5A	9.16345	9.6998	9.3986	9.3707	9.28355	9.0111	
DFFB	6.81365	5.7949	5.8383	6.3539	6.59445	5.9964	
STUB1	13.252	13.3648	13.5287	13.3648	9.61095	13.3648	
PGAM1	12.528	13.1055	13.0487	12.6534	12.0982	12.6871	
TGFB3	5.0946	5.1128	5.0477	5.3872	6.6475	4.978	
BAD	9.241	8.9116	9.2493	8.9358	7.75115	9.0878	
XBP1	6.51845	7.494	7.475	7.3311	7.12255	7.092	
NMT1	8.12845	7.5843	7.4766	7.4418	7.9456	7.5614	
PSMD10	7.46935	9.6347	9.4216	9.1919	8.2292	9.0488	
ARFIP2	10.1237	10.8427	10.7375	10.9399	11.3482	11.2547	
RAB11FIP2	7.9889	7.9047	8.0349	8.3256	8.63205	8.3026	
FPGS	8.83135	9.5637	8.8281	9.6178	8.99345	9.3273	
STAMBP	8.8674	8.9546	9.2462	9.1353	9.17595	9.4816	
PRKX	6.906	5.9499	6.2482	6.339	6.63985	6.45	
RNH1	10.4801	9.6574	9.779	9.985	10.432	10.2415	
ATG3	8.31295	8.4798	8.8408	8.7933	8.1931	8.3626	
FAH	7.44885	8.018	7.9698	7.7935	7.434	8.4816	
NCK1	8.24035	8.1015	8.2415	8.2862	8.24315	8.4985	
PLP2	9.3284	9.4884	9.5641	9.5491	9.406	9.417	
CFLAR	5.9359	3.7866	3.8184	4.4393	5.27025	3.9168	
SOX4	4.4859	5.2394	4.8124	4.9427	5.00035	5.0244	
HEATR1	10.6671	11.2265	11.128	11.0396	10.985	11.1532	
TESK1	9.28765	7.0556	7.3905	8.3206	8.99025	7.8853	
HN1L	8.42665	8.8954	8.7406	8.5983	7.6478	8.051	
WDR7	6.7721	5.8178	5.977	6.0948	6.91515	5.9004	
AKAP8	9.48235	8.7445	8.6796	8.7737	9.11725	8.5576	
RRAGA	10.4857	10.3378	10.374	10.3658	10.8265	10.6732	
ELOVL6	8.9367	8.7011	8.7065	8.8901	9.56395	9.1398	
SLC1A4	4.90305	5.3071	5.2184	5.2431	7.1989	6.2405	
ACBD3	6.8397	7.66	7.6846	7.8961	8.46585	8.4331	
GRWD1	8.7473	8.8427	8.5533	7.4851	7.7926	8.04	
PMAIP1	6.9191	7.1076	7.2749	7.1004	6.1728	7.2972	
STAT1	7.5553	6.58	6.4645	7.6128	7.39655	6.7503	
FOXJ3	9.26575	9.4345	9.2437	9.4547	9.6791	8.9756	
TWF2	10.7386	10.6321	10.4856	10.546	10.1009	10.5408	
HDAC6	7.1935	7.4944	7.1841	6.7678	7.4498	7.0522	
MTERFD1	10.5517	10.5143	10.361	10.3861	9.89325	10.2706	
CCND1	5.63835	7.2749	6.8426	6.6023	6.2304	7.1918	
CHIC2	8.53035	8.7933	8.9541	9.1854	8.8276	9.1465	
PXN	13.0291	12.8582	12.9101	12.9603	12.8886	12.9639	
USP7	6.5493	7.3721	7.2653	6.3306	7.00025	6.6486	
NOSIP	7.7851	8.8587	8.8533	8.8243	9.16445	8.783	
PHKB	6.8731	7.0053	7.1604	7.3802	7.2327	7.1413	
DLD	11.2507	11.6826	11.7844	11.6635	11.2383	11.4746	
NFKBIB	6.54415	6.6696	6.6161	6.3682	6.90435	6.5689	
CASC3	9.65125	9.9534	9.8907	9.7706	10.0231	9.8652	
IDE	5.83445	5.992	6.1698	5.7138	5.6229	5.626	
CD40	11.7472	7.3789	8.5526	8.6567	8.5326	8.6812	
MLEC	12.2553	12.284	12.1624	12.0115	11.8786	11.9738	
GLI2	5.2966	4.9983	4.8864	4.8581	5.0486	4.6728	
PRPF4	10.5072	10.4917	10.5489	10.3226	9.6454	9.7205	
MELK	10.8001	10.8092	10.9291	10.5282	8.7874	9.6982	
USP22	12.5094	13.0489	12.8582	12.7485	12.5082	12.5919	
DAXX	8.5779	8.5495	8.2812	8.4284	8.40095	8.2226	
TMED10	10.2264	10.5415	10.5707	10.4917	10.3434	10.5797	
CHERP	10.1641	10.3401	10.2343	10.2205	10.4514	10.2605	
SMAD3	7.63375	8.4221	8.338	8.2481	8.0109	8.4529	
OXA1L	11.4815	11.9959	11.8851	11.95	12.4981	12.1879	
PIK3CA	8.81215	6.9988	7.433	8.4127	8.7733	7.6884	
SNX7	9.2152	8.6395	8.8587	9.0704	9.8806	9.0641	
TRAPPC6A	7.27335	6.167	6.639	7.7791	8.2158	7.6102	
ATP2C1	8.5729	8.2446	8.0629	8.0802	8.3021	8.2137	
CDCA4	6.76435	7.8214	7.6463	7.6128	6.935	7.4676	
TBC1D9B	7.55975	7.6846	7.1328	7.6111	8.0708	7.7516	
USP14	7.86615	6.2528	6.5761	6.553	7.01875	6.5507	
APPBP2	6.24735	6.2561	6.0844	6.1847	6.1502	6.047	
CDC20	13.8051	14.1292	14.0891	13.7436	12.6712	13.0979	
NARFL	8.44795	6.7964	7.0461	7.8932	8.3955	7.5835	
RPS6	14.3967	14.4517	14.4517	14.6578	14.6332	14.6578	
DDX42	8.10995	8.3747	8.4875	8.2662	8.46395	8.2662	
ECH1	11.6383	11.6669	11.7743	12.0629	12.3188	12.1135	
HDAC2	10.5034	10.6025	10.4688	9.7014	9.90125	10.1323	
IKBKE	6.8292	5.3994	5.4535	9.0463	5.4139	5.3099	
CCL2	6.40305	5.5716	5.5857	6.1382	5.48005	5.8087	
DFFA	9.2648	9.3921	9.1303	9.1913	9.38955	9.3185	
MRPL19	10.2787	10.4301	10.4763	10.4528	10.5637	10.5146	
WDTC1	7.5953	7.9433	8.3071	8.484	9.24365	8.4592	
PLSCR3	8.968	8.5417	8.8765	9.1031	9.06345	9.1364	
SUZ12	10.3751	10.6411	10.6566	10.5716	10.3542	10.4171	
CSNK2A2	8.5298	7.8226	7.8514	8.3054	8.851	8.5918	
H2AFV	7.80445	8.0873	7.2111	7.7076	7.55225	8.0747	
NUSAP1	8.3124	10.2845	10.4676	10.0139	8.6819	9.3797	
TICAM1	6.79465	6.9347	6.6974	6.5884	7.09665	7.0338	
FAM69A	9.86995	7.0228	8.6215	8.9416	8.2523	7.7694	
KIAA0100	7.8773	8.8587	8.2979	8.118	8.522	8.33	
PAICS	8.5495	10.184	9.8068	8.7708	7.95035	8.6183	
SRC	5.7477	6.0948	6.184	5.517	5.77865	6.0796	
BMP4	7.2436	4.8298	5.1931	6.264	6.39925	6.1785	
CDK2	9.8532	9.6842	9.6941	9.4366	8.99615	9.1373	
EDN1	7.6659	5.7949	6.1318	7.2149	7.2457	6.653	
XPO7	8.5474	9.5381	9.66	9.2897	8.94125	8.8748	
FAIM	8.7159	8.2395	8.2682	7.7895	8.7489	8.1605	
KIAA0494	7.9129	7.6981	7.5251	8.5966	7.7986	7.6601	
PXMP2	9.34605	9.8736	9.9271	9.4994	9.05	9.3344	
SQSTM1	12.0829	12.6131	12.7651	13.6236	14.2659	13.4551	
HIF1A	12.5499	12.7441	12.6522	12.6219	12.8399	12.7441	
TIMM17B	11.7591	11.4497	11.8756	12.1445	11.4588	11.6669	
STXBP2	4.018	3.8322	3.5921	3.8322	4.4273	4.5096	
WRB	5.76285	6.0643	6.0936	5.8369	5.7383	5.5828	
ETFB	11.7954	12.4149	12.4832	12.4783	12.8208	12.5522	
MNAT1	7.58495	8.5041	8.5808	8.5054	10.216	8.2481	
CAMSAP2	10.2368	9.3563	9.5034	9.649	10.6044	10.0007	
HPRT1	9.8241	11.2736	11.35	11.0591	8.7728	10.176	
ARNT2	11.8627	9.6547	9.402	11.4112	11.6249	11.2925	
RRS1	8.19285	9.1001	8.4878	8.3096	8.8339	8.5148	
ADAT1	7.7267	6.9203	7.2206	6.859	7.52385	7.1518	
SPAG7	9.8209	10.549	10.2924	10.3826	10.751	10.8092	
MAPK1IP1L	9.5524	9.2119	9.2477	9.0979	9.0912	8.8676	
SCAND1	10.5415	11.3076	11.3681	11.7944	12.3978	12.5116	
MFSD10	10.6189	11.1181	10.9361	10.4635	11.0166	10.5938	
MSH6	9.7818	10.6934	10.644	10.4009	9.6977	9.7706	
COPS7A	12.1143	11.4764	11.5451	12.2055	11.9668	11.5871	
UBE2C	11.9962	12.4442	12.6871	11.8756	10.5368	11.702	
FIS1	9.5927	8.7828	9.0641	9.3552	9.31305	9.2114	
HS2ST1	6.2907	5.1815	5.5106	5.6098	5.6288	5.4519	
NUDT9	7.8996	7.894	7.847	8.1277	8.4024	7.8976	
TXLNA	11.1944	11.9738	11.8285	11.702	11.6314	11.7904	
CSRP1	12.0352	12.4873	12.4442	12.4636	12.0886	12.2055	
DNAJB1	10.5398	10.5889	10.6689	10.584	10.2204	10.4763	
METRN	9.33	8.9301	8.937	8.612	9.7844	8.976	
TOPBP1	9.6305	8.795	8.7364	8.6296	8.68825	9.3367	
ABCF1	10.8172	9.9527	9.8528	9.7644	10.5637	9.921	
TCTA	9.18815	9.2168	9.2194	9.63	9.5182	10.1865	
LGMN	8.0987	6.2715	6.071	5.7178	6.34255	5.9071	
TLK2	9.93775	8.7484	8.9143	9.1492	9.8152	9.0756	
KIAA1033	9.01585	9.2189	9.4172	9.3552	9.34	9.3537	
PTGS2	3.86755	3.5512	3.7273	3.989	3.9099	3.8536	
DNAJB6	10.8902	11.0893	11.3076	11.0735	10.9956	11.266	
PLA2G4A	10.4541	7.8166	8.283	9.8597	10.1681	9.5423	
MAT2A	11.8111	11.8951	11.9494	12.3125	12.1719	12.2327	
TLR4	8.1071	9.0283	8.7655	8.6176	7.2187	7.8544	
HMGCS1	8.51015	9.2397	8.9233	10.3631	13.3405	11.2643	
MBTPS1	7.9611	7.7687	7.7958	7.7974	8.1149	7.9697	
SPRED2	10.2745	9.3613	9.4703	10.3307	10.3153	9.794	
ZNF274	7.75055	7.8687	7.352	7.4766	8.2645	7.604	
CLIC4	12.627	13.1417	12.9661	12.8016	12.6653	12.8016	
MAP7	4.496	12.5919	4.1121	4.6035	4.76275	4.4409	
CHAC1	7.971	8.7201	7.5127	8.3934	9.6667	8.5222	
EIF4G1	8.64125	8.2675	7.9005	7.8	7.84715	7.7933	
BTK	3.51695	3.8145	3.506	3.709	3.621	3.4122	
GNAS	13.6875	13.9094	13.816	13.816	13.8627	14.0891	
MYL9	7.44385	5.9181	6.5939	6.744	7.03385	6.7437	
TEX10	9.0744	9.0391	9.0878	9.2928	8.9991	9.0738	
PSMD2	11.8958	11.6813	11.5056	11.3521	11.5049	11.2347	
ZNF586	6.23435	6.2647	6.1316	6.0936	6.1486	5.8798	
CLTC	11.1686	11.8718	11.702	11.4472	11.7661	11.8851	
IKZF1	4.285	4.1121	3.8184	3.8551	4.532	4.3509	
APBB2	7.71235	5.9705	6.0619	6.5665	6.7131	6.2793	
HSD17B10	10.9685	11.0974	11.011	11.1326	11.0716	11.0916	
RNF167	10.7691	11.0423	10.7592	10.932	11.2369	10.9949	
STX1A	8.93715	9.4388	9.1785	9.2419	8.56995	9.2318	
ALDOA	9.05665	10.8847	10.5358	10.2131	9.65765	10.1409	
EPHA3	9.13585	9.5688	9.68	9.8087	10.7255	10.1022	
STAT5B	5.32125	5.2174	5.1772	4.8756	5.1424	5.105	
TXNDC9	9.0187	9.0672	9.4392	9.3824	7.99625	8.7984	
CCNA2	10.0135	10.7017	10.6321	9.7809	7.6353	9.2194	
VGLL4	8.96815	9.0311	9.3744	9.3588	9.8373	9.4546	
CASP10	7.31005	5.2254	5.5495	6.2061	6.5413	6.0434	
SDHB	12.3073	12.7853	12.7176	12.5779	12.3845	12.4636	
ETS1	7.52805	6.5275	6.3688	6.1382	7.06735	6.0948	
YTHDF1	7.61745	8.4697	8.159	8.1704	7.4762	8.0747	
FOXO4	6.87215	7.4681	7.1734	7.4787	8.0578	7.3872	
LSM5	12.3142	12.2425	12.4873	12.3543	11.5897	12.0616	
TOMM34	9.7769	10.4763	10.4183	9.8109	9.67485	10.1971	
ZMYM2	9.08975	9.3816	9.6112	9.5381	10.1769	9.384	
CHMP6	5.3323	5.4825	5.2673	4.9848	5.15495	5.1173	
KIAA0907	9.93285	10.1518	10.0215	9.9959	9.96735	9.9534	
CASP7	7.5854	8.0597	8.7486	8.4727	8.15245	7.7974	
HK1	7.35975	8.673	8.019	7.3988	7.23715	7.6543	
PAPD7	9.7156	8.5333	8.3528	9.2988	9.7782	8.7828	
PIGB	8.82715	8.3054	8.5998	8.7172	8.87195	8.7081	
CHEK2	7.24225	7.6931	7.7257	7.0703	6.3549	6.542	
PLOD3	12.722	13.2457	13.3648	13.0487	13.3133	13.0817	
ACD	8.68445	9.0283	8.8303	8.4798	8.3771	8.6436	
TRAK2	5.36865	5.8863	5.8611	5.913	6.0161	5.7732	
SUPV3L1	10.2014	8.3685	8.1995	9.706	9.8902	9.0576	
VAPB	7.26735	7.407	7.4088	7.3483	7.2469	7.3313	
GPATCH8	8.88855	7.442	7.5803	7.2775	7.3395	7.3664	
HSPD1	11.0583	11.6635	11.4035	11.3623	10.8302	10.87	
BUB1B	11.2833	10.3202	10.1081	10.2475	9.86025	9.6757	
TGFBR2	5.79795	6.3328	5.9145	5.9252	6.35925	6.4445	
MRPL12	12.6643	13.5287	13.2259	12.7889	12.78	12.9661	
NOTCH1	8.28805	8.22	8.2902	9.0821	9.51525	9.133	
PNP	10.2308	10.7615	10.9447	10.9884	10.4168	10.9604	
SHC1	10.0425	9.3597	9.2311	8.995	9.2089	9.5173	
ARPP19	8.72035	9.0885	9.1932	9.3113	8.8976	8.9122	
CEBPA	3.8542	3.9243	3.8934	3.7227	4.19155	3.7677	
PSMF1	9.0652	8.9025	8.1108	8.7441	9.42665	8.9867	
RTN2	10.9398	7.6942	8.9143	8.9352	10.0417	9.4307	
NPEPL1	8.81875	7.4487	7.7426	7.7892	8.28365	8.476	
USP1	7.42045	8.2318	8.1517	7.257	6.11045	6.2675	
RPA1	11.1103	11.1408	11.1548	10.7608	10.4378	10.4586	
SIRT3	7.4091	5.2009	4.7583	4.6035	4.97215	4.9651	
KLHDC2	10.7321	10.3004	10.7356	11.2925	11.5373	10.9704	
UBQLN2	7.73605	8.1155	8.2277	8.2817	8.2588	7.9529	
DMTF1	6.9984	7.5851	7.5574	7.9632	7.09955	7.245	
SCARB1	8.89395	8.6816	8.5139	8.7877	9.8466	9.1707	
CLPX	9.21605	9.1627	9.1705	9.1627	8.9024	8.8276	
TPM1	10.7646	11.2442	10.869	10.4407	9.8618	10.327	
TM9SF2	8.59285	9.4025	9.301	8.9131	9.21625	8.9305	
TXNL4B	8.57475	8.154	8.0394	8.048	8.1779	8.1748	
ATF6	8.57425	9.2025	9.1523	9.1042	9.24715	9.2671	
PRR15L	6.3075	3.9964	4.2951	5.2819	5.49025	4.8298	
NUP88	11.3221	11.5002	11.5527	11.1838	10.8472	10.9813	
ST6GALNAC2	4.9002	4.8756	4.9318	5.1111	5.546	5.0545	
ADH5	9.57855	10.9604	11.1192	10.5954	9.71185	10.717	
FUT1	7.2461	5.5351	6.2679	6.9844	8.24525	6.4391	
GOLT1B	10.4445	11.2228	11.4497	11.4172	10.4052	11.1097	
PRUNE	5.45115	5.6033	5.6993	5.3512	5.2137	5.6644	
PPOX	9.86315	8.7271	8.8954	9.5014	9.8904	9.6395	
SYPL1	11.558	11.8293	11.6547	11.6132	11.4956	11.6956	
CANT1	10.4546	10.2343	10.1523	10.4269	10.1761	10.0779	
ZNF451	7.4843	7.3246	7.5439	7.4636	7.31625	7.2984	
HOMER2	7.57615	6.4036	6.8773	6.907	7.08395	6.5092	
RALB	8.7908	8.9083	8.8997	8.4789	8.4124	8.8076	
CLTB	9.8776	10.0737	10.122	10.0572	9.99	10.6281	
TRIM13	9.5516	8.0416	7.9117	8.7255	9.3908	8.1972	
FBXO7	7.3096	8.3964	8.0802	7.574	8.31875	8.1314	
PHKA1	7.5062	7.6735	7.0905	7.4034	7.6739	7.6634	
CYCS	10.4629	10.9127	11.0448	10.9813	10.1292	10.7751	
PPARD	5.6793	5.7124	5.8749	5.6277	5.5549	6.1318	
ENOSF1	5.4434	5.7613	5.7072	5.6098	4.9705	5.4843	
MAP4K4	7.478	7.8442	7.6463	7.4865	7.3143	7.3445	
PAN2	6.40605	6.2979	6.4998	6.6026	6.5981	6.2324	
STAT3	4.2952	5.3683	4.7337	4.7775	4.23325	4.7076	
LIG1	8.2366	8.427	8.2733	8.6311	7.0015	7.9377	
PPIC	7.7186	8.7876	8.8212	8.0921	8.44085	9.1805	
EIF5	9.836	10.7975	10.6204	10.506	9.92155	10.1374	
GNB5	7.4852	7.5151	7.4473	7.393	7.56855	7.4186	
GNAI1	6.45745	4.3881	4.4326	4.2341	4.30575	4.307	
INSIG1	5.4271	7.1693	7.3284	8.1762	10.6994	8.5785	
DNMT3A	7.4852	5.7357	6.1151	7.7527	7.9957	9.2576	
TM9SF3	9.5247	9.2671	9.4468	9.666	9.0777	8.9035	
CCDC86	10.868	10.1081	9.9101	10.1553	10.2244	10.0979	
HIST2H2BE	7.05785	5.6541	5.5106	6.6161	7.2543	6.8063	
S100A4	12.1717	12.1624	12.3173	12.3881	12.3457	12.3881	
SLC25A14	7.3065	7.2731	7.2359	7.2286	7.20985	7.4518	
KTN1	10.8404	10.7452	10.569	10.5194	10.5686	10.438	
TBXA2R	6.96615	6.0624	6.1463	6.0525	6.56745	6.584	
ARHGAP1	10.0243	10.1933	10.0048	10.1523	10.6434	10.3783	
FBXO11	5.2838	5.5988	5.403	4.9023	4.89855	4.3433	
HERPUD1	8.6326	8.048	7.9529	8.6315	8.25925	8.1372	
LPAR2	6.8432	7.4088	5.877	7.5837	7.77235	6.3186	
COASY	8.0527	8.6739	8.4018	8.2105	8.01235	8.2916	
RPL39L	4.09505	4.8056	4.521	4.3809	3.9073	4.1329	
BPHL	6.9412	6.187	7.5686	6.6934	7.1263	6.6444	
RASA1	6.7273	7.7208	7.8027	7.3196	7.1046	7.6281	
ATMIN	6.34355	7.3406	7.3383	7.0787	6.90735	7.407	
MAPKAPK3	7.17485	6.8669	7.162	7.1795	6.96845	6.8965	
CASP3	10.3619	9.7706	9.7823	9.6731	9.51815	9.666	
